id,log vol score,no vol score,score,mean volume,volatility,long mom,short unweighted mom,long unweighted mom
0,57.51792803640669,5.506879582580476,46.56870347392287,146273.099563591,0.0001182528000949,11.896772171766711,-19.25461828945903,17.4885922762637
10,-532.6146931594719,-92.97529531375956,-314.5707631116931,208390.256,0.0002955624177977,22.587886031403677,-220.43122055174217,-196.6457327661988
20,-339.93482134203174,-29.114845958157535,-298.49340598844486,96346.3523049136,9.753932708076176e-05,-21.816096839713182,-48.886876018731314,-23.94031413447247
30,-199.03057807199562,-16.632046338638208,-178.2279897247819,72304.2471357747,9.331893584347368e-05,-12.86246151486428,-26.22815978613797,-14.575102538686323
40,-320.81629372426676,-22.727725121034347,-335.2550126827962,54519.412504312495,6.779234988661703e-05,-20.907106335183947,-26.96896689042089,-22.12772092334861
50,-87.27123075625059,-6.418992168737874,-87.67454849335542,45439.27078007751,7.321386056780605e-05,-4.898650978042674,-8.62259525045945,-7.256071468406699
60,-206.53122964262744,-14.590581010378104,-216.48901260317447,48721.76770297194,6.739640425596433e-05,-13.30167249073461,-19.77854388027385,-11.98043517976934
70,-231.38233299723103,-19.303202371016233,-207.47998241441508,86035.51133239207,9.303645656023106e-05,-14.199501598461916,-26.46249324513855,-22.351313042002555
80,-896.8367745452797,-93.03008284067295,-689.1925736585221,137849.35390861263,0.0001349841632025,-77.44478921647537,-138.59504400792756,-78.63570892190701
90,-163.0766892599203,-10.521577195778871,-191.34777669575547,40548.70629924542,5.498667074929366e-05,-8.052753365786588,-17.808825377072083,-8.171976674470224
100,-84.86470687223768,-5.4769701362577825,-99.5364859960616,41895.54324625021,5.502474877879948e-05,-5.730265872110628,-5.741041236071318,-4.706307564738556
110,-275.97212963720267,-23.834542425417112,-240.7604931946339,106840.1914643384,9.899689982005875e-05,-21.774178576461857,-35.7322602085066,-16.057552340238143
120,-412.4745640000243,-32.73206599619641,-385.8256020856533,89867.95995256721,8.48364282184931e-05,-28.799970607007715,-46.66378740156669,-26.6645353692035
